Id,SalePrice
731,283178.9995536343
732,206978.3982487009
733,254134.2806513966
734,123617.38314847351
735,105449.23950107611
736,199944.86491686915
737,44557.321968701115
738,225938.7677183937
739,127400.83222123008
740,204760.86550594715
741,104979.62077651196
742,156813.46592005418
743,164026.33335969032
744,159739.73943620909
745,234647.17536191817
746,313625.4248696619
747,238840.71693266137
748,265870.4661805744
749,269451.92418118566
750,63811.73652300087
751,89234.85166752836
752,159684.97645311232
753,222872.08771313052
754,312550.6157471254
755,155739.12821682956
756,153115.73993875855
757,230465.47502764536
758,150672.0652771506
759,165171.16392110474
760,341920.0199819338
761,106003.67314400722
762,124934.74488548015
763,199369.22318540287
764,325311.6650384256
765,264966.62411894224
766,267300.1533470632
767,164185.23919727607
768,195065.77056805638
769,249766.9931863345
770,440562.88296280045
771,123160.03237153491
772,109446.32420524833
773,149752.79555129912
774,91239.13940326273
775,330275.04067067476
776,140164.4434841365
777,247237.16495349252
778,108778.97931069438
779,168703.19056507386
780,157597.1446490843
781,152738.3434863077
782,170021.34594313812
783,214182.14974562952
784,169480.7981902433
785,117128.91577403361
786,158728.94331082806
787,122204.90679452481
788,221626.5044850823
789,86831.83072791799
790,251042.43598332885
791,179777.01448035846
792,148906.84364672535
793,256488.7843020641
794,252502.0763805693
795,203246.546514844
796,149569.62193397176
797,147313.8613149256
798,86147.57390179782
799,406508.48970447003
800,159268.16623923817
801,194293.84326819668
802,124753.86931489033
803,185491.09742122394
804,404851.42548845
805,107542.008735587
806,226848.1108054025
807,112850.10281335402
808,191531.43227273435
809,145961.01424095506
810,157977.7611957948
811,169044.155466702
812,175863.11973236944
813,92866.63503636298
814,144849.20514496928
815,99471.98826897159
816,225763.1509257584
817,114950.63271004209
818,248509.36259476544
819,157629.58793558145
820,255275.72684235277
821,193714.6290432716
822,70061.9247505363
823,227453.23089356034
824,166435.038719522
825,237640.38934045576
826,388686.11625747185
827,81685.8356544183
828,204707.98844034714
829,225939.3794873684
830,161943.15293610573
831,167562.1226284987
832,152431.81330330647
833,219986.28538637405
834,173802.3762473223
835,135568.67283368402
836,133024.6984972955
837,164829.03165405773
838,88373.0053804823
839,144539.1653470471
840,109115.80763846033
841,127249.68042520323
842,140681.35974247672
843,170196.10591880063
844,164180.5011244376
845,165845.45808243065
846,212562.37615009013
847,169012.27036359906
848,122826.6393646248
849,244151.15524960583
850,206268.94614850997
851,156887.26242101257
852,241721.68769804406
